name,headline,year,product,category,subject,publication,medium,format,link,description,location,company
Terms of Advertising,Terms of Advertising,1846,,Broadsides Collection,"Price List', 'Advertising Rates",,,advertisements,https://idn.duke.edu/ark:/87924/r44m9342x,F-140,,Constitutionalist and Chronicle & Sentinel
Brown's Hotel Bill of Fare,"""Brown's Hotel Bill of Fare""",1847,,Broadsides Collection,"Price List', 'Hotels and Restaurants",,,advertisements,https://idn.duke.edu/ark:/87924/r4ff3nr5v,includes mail routes and Travel information,,"""Brown's Hotel"""
Important Public Sale,Important Public Sale,1847,,Broadsides Collection,Books,,,advertisements,https://idn.duke.edu/ark:/87924/r46w9806h,auction conducted by Richard Sims and Edward Dromgoole.,,Geo. C. Dromgoole
The Flag Extra,The Flag Extra,1847,,Broadsides Collection,Magazines and Newspapers,,,advertisements,https://idn.duke.edu/ark:/87924/r4qj79n1g,,,Flag Extra
Rock Spring Academy,Rock Spring Academy,1848,,Broadsides Collection,"Price List', 'Education and Men",,,advertisements,https://idn.duke.edu/ark:/87924/r49k47h96,handwritten order by the Trustees to post up advertisement,,Rock Spring Academy
The New Prospectus of the Rough and Ready,The New Prospectus of the Rough and Ready,1848,,Broadsides Collection,"Military', 'Magazines and Newspapers",,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4gf0pp7h,drawing possibly a woodcut.,,G. H. Monsarrat & Co.
Boy's First Lessons...,"""Boy's First Lessons...""",circa 1848,"""Spencer and Rice's System""",Advertising Ephemera Collection,"Price List', 'Penmanship",,,advertisements,https://idn.duke.edu/ark:/87924/r4xd0sp3h,,,Spencer & Rice
Card 1,Card 1,circa 1848,Spencerian Penmanship,Advertising Ephemera Collection,Penmanship,,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4p26rv7x,,,Spencer & Rice
Jew David's Hebrew Plaster,"""Jew David's Hebrew Plaster""",1849,,Broadsides Collection,Medical,,,advertisements,https://idn.duke.edu/ark:/87924/r4js9jz7x,,,"Hall & Rucker, Proprietors"
National Washington Monument,National Washington Monument,1849,,Broadsides Collection,Historic Monuments,,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4cc0wh6n,"contains signatures of members of congress, including John Quincy Adams, Daniel Webster and Clay",,unknown
"Bank Note, Specie, Gold And Foreign Exchange.","Bank Note, Specie, Gold And Foreign Exchange.",1850,,Broadsides Collection,Lottery,,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r48913f3j,list of lottery prizes,,E. N. Carr & Co.
Castle Garden,Castle Garden,1850,,Broadsides Collection,Entertainment,,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r44748f3t,broadside includes a ticket stub to a Jenny Lind concert,,William A. Hildebrand
Knodle's Counting House,"""Knodle's Counting House""",1850,,Broadsides Collection,Printing and Serials,,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r48913h9b,,,"""Knodle's Counting House"""
Lands For Sale,Lands For Sale,1850,,Broadsides Collection,Land and Homes,,,advertisements,https://idn.duke.edu/ark:/87924/r4xg9h326,list of different lots of land.,,Newton & Bryce
Proclamation,Proclamation,1850,,Broadsides Collection,Greeting Cards,,,advertisements,https://idn.duke.edu/ark:/87924/r4tq5t61r,"""Valentine's Day!""",,United States
Travelers Are Invited To Call At Welch's Fashionable Furnishing Store For Gentlemen.  cor. of Meeting and Market Streets Near The Charleston Hotel.,"""Travelers Are Invited To Call At Welch's Fashionable Furnishing Store For Gentlemen.  cor. of Meeting and Market Streets Near The Charleston Hotel.""",1850,,Broadsides Collection,Clothing and Shoes,,,advertisements,https://idn.duke.edu/ark:/87924/r4cr5q37c,,,"""Welch's Fashionable Furnishing Store For Gentlemen."""
Egypt's Revelations,"""Egypt's Revelations""",1851,,Broadsides Collection,"Price List', 'Exhibits",,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4qr4qd55,lists the Schedule of Lectures and exhibitions.  Scanned as two images,,George R. Gliddon
Freights Reduced,Freights Reduced,1851,,Broadsides Collection,"Price List', 'Freight and Shipping",,,advertisements,https://idn.duke.edu/ark:/87924/r4vd6qx7d,F-331   list of revised freight prices both up and down the river.,,"""Henrietta Steamboat Company, President Merchants' Steamboat Company, President Cape Fear Steamboat Company"""
Law-School of the University of Virginia,Law-School of the University of Virginia,1851,,Broadsides Collection,"Price List', 'Education",,,advertisements,https://idn.duke.edu/ark:/87924/r4ns0np2p,,,University of Virginia
"Gang Of 25 Sea Island Cotton And Rice Negroes, By Louis D. De Saussure.","Gang Of 25 Sea Island Cotton And Rice Negroes, By Louis D. De Saussure.",1852,,Broadsides Collection,"Children', 'African/African-American', 'Slaves",,,advertisements,https://idn.duke.edu/ark:/87924/r4fq9rv1j,"describes the age, abilities and condition of each slave for sale.",,"Louis D. De Saussure', ""Ryan's Mart"""
The World's Industrial Exhibition of 1853 -- Season Ticket,"""The World's Industrial Exhibition of 1853 -- Season Ticket""",1853,"""World's Industrial Exhibition of 1853""",Advertising Ephemera Collection,"Expositions, Fairs, etc.",,,"advertisements', 'engravings (prints)",https://idn.duke.edu/ark:/87924/r4tm73t1v,"unscanned reverse side lists rules of the fair and is signed by J. M. Bathelder, Secretary",,"""World's Industrial Exhibition of 1853"""
Mechanics' Institute School,"""Mechanics' Institute School""",1854,,Broadsides Collection,"Children', 'Price List', 'Education and Women",,,advertisements,https://idn.duke.edu/ark:/87924/r4dr2r12n,,,"""Mechanics' Institute School"""
Paris Spring Millinery,Paris Spring Millinery,1854,"Millinery, straw & leghorn bonnets",Advertising Ephemera Collection,Clothing,,,advertisements,https://idn.duke.edu/ark:/87924/r4251h87z,,,"Miss Mullin, seamstress"
Philadelphia & Savannah Steamship Line,Philadelphia & Savannah Steamship Line,1854,,Broadsides Collection,"Price List', 'Transportation & Travel",,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r41v5d55h,,,Heron & Martin
Sale at Auction - Succession of the late Pierre Lefebvre,Sale at Auction - Succession of the late Pierre Lefebvre,1854,,Broadsides Collection,Estate Sale,,,advertisements,https://idn.duke.edu/ark:/87924/r4pz53960,"image was oversized, but originally it was arranged with an English column on the right side of the page and a French column on the left side, providing details of the will.  Includes slaves.",,Pierre Lefebvre (Will)
South-Western Book Store Dissolution,South-Western Book Store Dissolution,1854,,Broadsides Collection,Books,,,advertisements,https://idn.duke.edu/ark:/87924/r45t3hq0n,note from McGinnis to Mirriam (dictionaries).,,H. D. McGinnis
Summerville Male and Female Seminary,Summerville Male and Female Seminary,1854,,Broadsides Collection,"Price List', 'Education and Coed",,,advertisements,https://idn.duke.edu/ark:/87924/r4d21tb27,,,Summerville Seminary
Auction Sale Of Negroes,Auction Sale Of Negroes,1855,,Broadsides Collection,"Children', 'African/African-American', 'Slaves",,,advertisements,https://idn.duke.edu/ark:/87924/r4kp7wg5b,Includes notes on the side that show the appraised price for each group of slaves and the price they were sold at and the profit made from the auction.  Also gives the age of each slave at the time of sale.,,J. S. Ryan
Banking House of Hamilton G. Fant,Banking House of Hamilton G. Fant,1855,,Broadsides Collection,"Price List', 'Land and Homes",,,advertisements,https://idn.duke.edu/ark:/87924/r46h4ff38,,,Hamilton G. Fant
"Chubb Brothers, Bankers and Dealers","Chubb Brothers, Bankers and Dealers",1855,,Broadsides Collection,"Price List', 'Banking and Financial",,,advertisements,https://idn.duke.edu/ark:/87924/r41v5d53j,,,Chubb Brothers
Great North'n & East'n Route.  American & Canadian Steam'rs,"""Great North'n & East'n Route.  American & Canadian Steam'rs""",1855,,Broadsides Collection,Transportation & Travel,,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r41j9910g,lists destinations and miles to get there.  includes a map of the Great Lakes.,,unknown
"Hightower, Wheeler & Co. Ingrafting.","Hightower, Wheeler & Co. Ingrafting.",1855,,Broadsides Collection,Plants and Seeds,,,advertisements,https://idn.duke.edu/ark:/87924/r47942n25,F-153   lists fruits by season.,,"Hightower, Wheeler & Co."
ITALIA.  Waugh's Great Paintings,"""ITALIA.  Waugh's Great Paintings""",1855,,Broadsides Collection,Exhibits,,,advertisements,https://idn.duke.edu/ark:/87924/r4q52h43h,,,Hope Chapel
List of Articles Manufactured at the Piedmont Works,List of Articles Manufactured at the Piedmont Works,1855,,Broadsides Collection,"Price List', 'Machinery and Tools",,,advertisements,https://idn.duke.edu/ark:/87924/r4rj4bk6k,,,Piedmont Works
The Anti-Tobacco Medal,The Anti-Tobacco Medal,1855,,Broadsides Collection,"Children', 'Magazines and Newspapers",,,advertisements,https://idn.duke.edu/ark:/87924/r45719f7b,children are the focus of the ad.,,American Anti-Tobacco Society
"""Young America"" Corn And Cob Mill, Manufactured By E. Whitman & Co.","""Young America"" Corn And Cob Mill, Manufactured By E. Whitman & Co.",1856,,Broadsides Collection,"Price List', 'Machinery and Tools",,,advertisements,https://idn.duke.edu/ark:/87924/r40r9ns9k,,,E. Whitman & Co.
Hostetter's Stomach Bitters,"""Hostetter's Stomach Bitters""",1856,,Broadsides Collection,Medical,,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4gh9d15t,,,Hostetter & Smith
Ingersoll's Improved Portable Hay And Cotton Press.,"""Ingersoll's Improved Portable Hay And Cotton Press.""",1856,,Broadsides Collection,Machinery and Tools,,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4sj1cf3x,several prices are given for different models of this press.,,J. A. Weston & Co.
War in Kansas! New Goods for Fall & Winter,War in Kansas! New Goods for Fall & Winter,1856,,Broadsides Collection,Dry Goods,,,advertisements,https://idn.duke.edu/ark:/87924/r4t14wc6z,,,Jackson Rhodes
"55 Prime Negroes, Accustomed to the culture of Rice.  By Louis D. De Saussure.","55 Prime Negroes, Accustomed to the culture of Rice.  By Louis D. De Saussure.",1857,,Broadsides Collection,"Children', 'African/African-American', 'Slaves",,,advertisements,https://idn.duke.edu/ark:/87924/r44m9318g,"""lists slaves' ages, abilities and disabilities.""",,Louis D. De Saussure
"Adrian H. Muller's Auction Sale Of Stocks, Bonds, &C.","""Adrian H. Muller's Auction Sale Of Stocks, Bonds, &C.""",1857,,Broadsides Collection,"Price List', 'Banking and Financial",,,advertisements,https://idn.duke.edu/ark:/87924/r40g3jp9z,,,Adrian H. Muller
Jefferson Medical College,Jefferson Medical College,1857,,Broadsides Collection,Education,,,advertisements,https://idn.duke.edu/ark:/87924/r4jh3fs8w,,,Jefferson Medical College
"List Of 17 Rice Field Negroes For Sale By J. S. Ryan, At Public Auction","List Of 17 Rice Field Negroes For Sale By J. S. Ryan, At Public Auction",1857,,Broadsides Collection,"Children', 'African/African-American', 'Slaves",,,advertisements,https://idn.duke.edu/ark:/87924/r4w952d86,"has price of each slave hand written in the margins.  Also lists names, ages and abilities of each slave.",,J. S. Ryan
List Of 24 Rice Field Negroes For Sale By J. S. Ryan At Public Auction,List Of 24 Rice Field Negroes For Sale By J. S. Ryan At Public Auction,1857,,Broadsides Collection,"Children', 'African/African-American', 'Slaves",,,advertisements,https://idn.duke.edu/ark:/87924/r4w66c001,"left margin has a list of names, possibly purchasers; right margin has prices scribbled.  Also lists names, ages and abilities of each slave.",,J. S. Ryan
Louisville Hotel,Louisville Hotel,1857,,Broadsides Collection,"Price List', 'Hotels and Restaurants",,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4br8p82m,broadside is a menu of sorts.,,"Kean, Stedman & Co."
Principles of Hygenic Medication,Principles of Hygenic Medication,1857,,Broadsides Collection,"Price List', 'Medical",,,advertisements,https://idn.duke.edu/ark:/87924/r4pk08r3r,,,"Dr. R. T. Trall, M. D. and M. Nevins M. D., Proprietors"
The American Corn Salve!  Buy Me!  Buy Me!,The American Corn Salve!  Buy Me!  Buy Me!,1857,,Broadsides Collection,Medical,,,advertisements,https://idn.duke.edu/ark:/87924/r43f4nd07,,,J. A. Jackson & Co.
Educational! Pro Bono Publico,Educational! Pro Bono Publico,1858,,Broadsides Collection,"Price List', 'Education and Coed",,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4w952b9s,,,"""Eastman's Saint Louis Commercial College"""
"February, 1858.  Charleston Route to Tennessee and Alabama, and all points on the South Carolina and connecting railroads.","February, 1858.  Charleston Route to Tennessee and Alabama, and all points on the South Carolina and connecting railroads.",1858,,Broadsides Collection,"Price List', 'Freight and Shipping",,,advertisements,https://idn.duke.edu/ark:/87924/r4930qk25,ad required two scans to accommodate its length.,,"Henry Yonge, Agent"
"Glen Haven Water-Cure, Glen Haven, New York.","Glen Haven Water-Cure, Glen Haven, New York.",1858,,Broadsides Collection,Health Resorts,,,"advertisements', 'woodcuts (prints)",https://idn.duke.edu/ark:/87924/r4dr2r18j,,,Scott Cortland Co.
Improved Cotton!  Dickson's Select Cotton.,"""Improved Cotton!  Dickson's Select Cotton.""",1858,,Broadsides Collection,Plants and Seeds,,,advertisements,https://idn.duke.edu/ark:/87924/r4sq8s77h,F-157   includes list of agents in other cities and a note about Hungarian Grass Seed.,,D. Dickson
Pedigree,Pedigree,1858,,Broadsides Collection,Animals and Stud,,,advertisements,https://idn.duke.edu/ark:/87924/r41c1w460,regional champion,,A. W. Hedgpeth
Public Sale!,Public Sale!,1858,,Broadsides Collection,Estate Sale,,,advertisements,https://idn.duke.edu/ark:/87924/r4x34pg9w,two separate estate sales.,,Estate Sale
Sparta Academy Lottery of Georgia,Sparta Academy Lottery of Georgia,1858,,Broadsides Collection,"Price List', 'Gambling",,,advertisements,https://idn.duke.edu/ark:/87924/r45h7dh23,Gambling,,Samuel Swan & Co.
The Mississippi Almanac,The Mississippi Almanac,1858,,Broadsides Collection,"Price List', 'Advertising Rates",,,advertisements,https://idn.duke.edu/ark:/87924/r4w08z59b,non-profit advertisements for Mississippi and Alabama,,Mississippi Almanac
"Warranted Piano Fortes, For Sale On Trial.","Warranted Piano Fortes, For Sale On Trial.",1858,,Broadsides Collection,Music and Pianos,,,advertisements,https://idn.duke.edu/ark:/87924/r42r3qm1n,lists people who have purchased pianos for reference purposes.,,J. T. Davis
Arcade Hotel,Arcade Hotel,1859,,Broadsides Collection,"Price List', 'Hotels and Restaurants",,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4gx46j1c,R. S. Morse mentioned,,Arcade Hotel
Chairs!,Chairs!,1859,,Broadsides Collection,Housewares,,,advertisements,https://idn.duke.edu/ark:/87924/r4w952d29,F-337,,"""A. C. Vogler's Furniture Establishment"""
Dates of Drawing of the Royal Habana Lottery.,Dates of Drawing of the Royal Habana Lottery.,1859,,Broadsides Collection,Lottery,,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r46971n6h,prize list enclosed.,,Don Rodriguez
Dred!,Dred!,1859,,Broadsides Collection,Entertainment,,,advertisements,https://idn.duke.edu/ark:/87924/r40g3jp2k,scanned in two parts.,,Boston Museum
Fuller House,Fuller House,1859,,Broadsides Collection,"Price List', 'Hotels and Restaurants",,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r44748g19,,,Fuller House
George Allen,George Allen,1859,,Broadsides Collection,Dry Goods,,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4x34pk2v,F-346   in blue ink,,George Allen
Great Southern Mail Lines Direct,Great Southern Mail Lines Direct,1859,,Broadsides Collection,"Price List', 'Transportation & Travel",,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4ws8kb4j,,,Great Southern Railroad
"NEGROES, NEGROES.","NEGROES, NEGROES.",1859,,Broadsides Collection,"African/African-American', 'Slaves",,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4k932w21,F-159,,J. F. Moses
Nottoway Foundry,Nottoway Foundry,1859,,Broadsides Collection,"Price List', 'Machinery and Tools",,,advertisements,https://idn.duke.edu/ark:/87924/r4j09xv6q,advertisement also includes information about coffin making and lumber cutting services.,,Nottoway Foundry
"Odd Fellow's Hall!  This Monday Afternoon!  January 31st, 1859, At 2 O'Clock, Will Be Performed, By The Celebrated Cooper Opera Troupe!","""Odd Fellow's Hall!  This Monday Afternoon!  January 31st, 1859, At 2 O'Clock, Will Be Performed, By The Celebrated Cooper Opera Troupe!""",1859,,Broadsides Collection,Entertainment,,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4tm73t87,,,Cooper Opera Troupe
The Harvest Home,The Harvest Home,1859,The Harvest Home (farm/ homestead),Advertising Ephemera Collection,Real Estate,,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4bc3vn7b,on Sale by Owner,,Charles Wright
University of Pennsylvania Medical Department,University of Pennsylvania Medical Department,1859,,Broadsides Collection,"Price List', 'Education",,,advertisements,https://idn.duke.edu/ark:/87924/r48c9sv2f,,,University of Pennsylvania
1880! A Great Opportunity 1880!,1880! A Great Opportunity 1880!,1860,,Broadsides Collection,Magazines and Newspapers,,,advertisements,https://idn.duke.edu/ark:/87924/r4xs5m70v,advertisement for agents.,,Illustrated Household Magazine
A Campaign Paper,A Campaign Paper,1860,,Broadsides Collection,Magazines and Newspapers,,,advertisements,https://idn.duke.edu/ark:/87924/r4q52h440,bilingual page with English and French.,,Evening Sentinel
A Prime Gang Of 158 Negroes.  By Louis D. DeSaussure.,A Prime Gang Of 158 Negroes.  By Louis D. DeSaussure.,1860,,Broadsides Collection,"Children', 'African/African-American', 'Slaves",,,advertisements,https://idn.duke.edu/ark:/87924/r4ks6kt3s,"""list of slaves' ages and abilities.""",,T. Bennett Lucas
Auction Sale.  Sugar and Syrup,Auction Sale.  Sugar and Syrup,1860,,Broadsides Collection,Food,,,advertisements,https://idn.duke.edu/ark:/87924/r4qf8mb6x,F-347   ad for sugar and syrup auction,,Hathaway & Co.
Charleston Hotel,Charleston Hotel,1860,,Broadsides Collection,"Price List', 'Hotels and Restaurants",,,"advertisements', 'color drawings",https://idn.duke.edu/ark:/87924/r4cz33t9m,blue ink used too.,,Charleston Hotel
Cucumber Pumps,Cucumber Pumps,1860,,Broadsides Collection,Machinery and Tools,,,advertisements,https://idn.duke.edu/ark:/87924/r4v40mr10,includes testimony from people in Virginia and North Carolina,,"Plummer, Younger & Co."
Delaware State Lotteries,Delaware State Lotteries,1860,,Broadsides Collection,"Price List', 'Gambling",,,advertisements,https://idn.duke.edu/ark:/87924/r4pk08t7k,,,Bangs & Co.
Estate Sale!  By Order Of Executor.  By Louis D. DeSaussure.,Estate Sale!  By Order Of Executor.  By Louis D. DeSaussure.,1860,,Broadsides Collection,"Children', 'African/African-American', 'Slaves",,,advertisements,https://idn.duke.edu/ark:/87924/r46971p6z,"""list of slaves' ages and abilities.""",,Mr. and Mrs. WM. Barnwell
"Iron Ship Building.  Harrison Loring, City Point Works, South Boston,","Iron Ship Building.  Harrison Loring, City Point Works, South Boston,",1860,,Broadsides Collection,Shipbuilding,,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4js9k088,additional ad for paper-hangings on back.,,City Point Works
Magnificent Lottery,Magnificent Lottery,1860,,Broadsides Collection,"Price List', 'Lottery",,,advertisements,https://idn.duke.edu/ark:/87924/r40r9nt53,,,T. M. Ward & Co.
Notice,Notice,1860,,Broadsides Collection,"Price List', 'Food",,,advertisements,https://idn.duke.edu/ark:/87924/r4j38nb1x,,,"Chas. Robertson, Geo. Greig, Ottenville & Klooz, G. W. Wessel"
Philadelphia Weekly Illustrated --Stars & Stripes !,Philadelphia Weekly Illustrated --Stars & Stripes !,1860,,Broadsides Collection,"Price List', 'Magazines and Newspapers",,,"advertisements', 'color drawings",https://idn.duke.edu/ark:/87924/r48c9sv8b,,,Philadelphia Weekly Illustrated
Portable fences,Portable fences,1860,,Broadsides Collection,"Price List', 'Security",,,advertisements,https://idn.duke.edu/ark:/87924/r47p8w51n,,,Vandemark
Presidential Campaign of 1860,Presidential Campaign of 1860,1860,,Broadsides Collection,"Price List', 'Speeches",,,advertisements,https://idn.duke.edu/ark:/87924/r4zk57d94,lists titles of speeches made by Republican Committee and their prices,,Republican Committee
Spencer House Breakfast Card.,Spencer House Breakfast Card.,1860,,Broadsides Collection,Hotels and Restaurants,,,advertisements,https://idn.duke.edu/ark:/87924/r4319tw48,,,Spencer House
"The National Political Chart, and Map of the United States, Containing Accurate Portraits, from life, of the Candidates of each Party for President and Vice President, viz.: Bell, Everett, Lincoln, Hamlin, Douglas, Johnson, Breckenridge, and Lane.","The National Political Chart, and Map of the United States, Containing Accurate Portraits, from life, of the Candidates of each Party for President and Vice President, viz.: Bell, Everett, Lincoln, Hamlin, Douglas, Johnson, Breckenridge, and Lane.",1860,,Broadsides Collection,Printing and Serials,,,advertisements,https://idn.duke.edu/ark:/87924/r4v40mn9h,ad contains two separate ads.,,John Walker and Young & Watson
Attention Soldiers!,Attention Soldiers!,1862,,Broadsides Collection,Clothing and Shoes,,,advertisements,https://idn.duke.edu/ark:/87924/r41v5d62h,Glebe Cottage could possibly be in the northern Virginia area.,,Andrew J. Sweetser
Grand Military Concert!,Grand Military Concert!,1862,,Broadsides Collection,"Military', 'Entertainment",,,advertisements,https://idn.duke.edu/ark:/87924/r4tx36w1k,"""Band assisted by Capt. Collis' Zouaves D' Afrique, all under the direction of Prof. Chas. Spiegel.""",,"""Band of the Second Reg'l. Mass. Vols."""
Dear Sir,Dear Sir,1863,,Broadsides Collection,Banking and Financial,,,advertisements,https://idn.duke.edu/ark:/87924/r42j69t3d,"""personal letter about counterfeit currency printing of Confederate notes to ""weaken the Rebellion.""",,Mary T. Bentley
$40.000!  Shelby College Lottery of the State of Kentucky,$40.000!  Shelby College Lottery of the State of Kentucky,1864,,Broadsides Collection,"Price List', 'Gambling",,,advertisements,https://idn.duke.edu/ark:/87924/r40r9nt8j,ad required two scans to accommodate its length.,,"Danforth, Phillips & Co."
EXCELSIOR CIGARETTE ROLLER,EXCELSIOR CIGARETTE ROLLER,1864,,Broadsides Collection,Tobacco,,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4gh9d13v,,,"H. C. Witt, Agent"
Ford's Theatre,"""Ford's Theatre""",1864,,Broadsides Collection,Entertainment,,,advertisements,https://idn.duke.edu/ark:/87924/r4ww78r79,Booth as Richard III - scanned as two images,,"""Ford's Theatre"""
James W. Fortune's Publications,"""James W. Fortune's Publications""",1865,,Broadsides Collection,"Price List', 'Books",,,advertisements,https://idn.duke.edu/ark:/87924/r4pg1kd3b,examples described in the ad are books about music and books about war.,,A. Williams & Co.
New England Tobacco Works,New England Tobacco Works,1865,,Broadsides Collection,"Price List', 'Tobacco",,,advertisements,https://idn.duke.edu/ark:/87924/r4445k20h,,,"Adams, Batchelder & Co."
New Laws: Indian War Soldiers,New Laws: Indian War Soldiers,1865,"H. J. Hayden & Co., War Claims Attorneys",Advertising Ephemera Collection,Attorneys,,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r41g0kj69,,,H. J. Hayden & Co.
Notice Notice !!,Notice Notice !!,1865,,Broadsides Collection,Dry Goods,,,advertisements,https://idn.duke.edu/ark:/87924/r42f7mj3w,postwar,,Thos. W. Holloway
Philadelphia Sugar House,Philadelphia Sugar House,1865,Sugars and Syrups,Advertising Ephemera Collection,"Price List', 'Food",,,"advertisements', 'color drawings",https://idn.duke.edu/ark:/87924/r40v8c93r,,,"Harris, Stolesbury Co."
The Farmer,The Farmer,1865,,Broadsides Collection,"Price List', 'Magazines and Newspapers",,,advertisements,https://idn.duke.edu/ark:/87924/r41r6pr1v,small note on the back of the advertisement.,,The Farmer
The Ministers' Institute,"""The Ministers' Institute""",1865,,Broadsides Collection,Education and Men,,,advertisements,https://idn.duke.edu/ark:/87924/r49p2z022,,,Executive Committee of the Illinois Baptist Pastoral Union
Allison & Addison's Star Brand,"""Allison & Addison's Star Brand""",1865 to 1866,Tobacco Manure,Advertising Ephemera Collection,Fertilizers,,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4qr4qd93,A book of testimonials about the product.  selected images.,,Allison & Addison Manufacturers
"Greenwood Seminary for Young Ladies, Near Lebanon Tennessee.","Greenwood Seminary for Young Ladies, Near Lebanon Tennessee.",1866,,Broadsides Collection,"Children', 'Education and Women",,,advertisements,https://idn.duke.edu/ark:/87924/r4n58f904,prices for admission and related costs are in text.,,Greenwood Seminary for Young Ladies
Life and Campaigns of General Robert E. Lee,Life and Campaigns of General Robert E. Lee,1866,,Broadsides Collection,"Price List', 'Books",,,advertisements,https://idn.duke.edu/ark:/87924/r4m040n8j,,,National Publishing Co.
"New Memphis Theatre.  Third Week Of The Queen of Comedy and Pathos, Miss Laura Keene.","New Memphis Theatre.  Third Week Of The Queen of Comedy and Pathos, Miss Laura Keene.",1866,,Broadsides Collection,Entertainment,,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4n874p6w,,,Miss Laura Keene and the New Memphis Theatre
Washington College,Washington College,1866,,Broadsides Collection,"Price List', 'Education",,,advertisements,https://idn.duke.edu/ark:/87924/r45719c21,,,Washington College
"West Tennessee College.  Jackson, Tennessee.","West Tennessee College.  Jackson, Tennessee.",1866,,Broadsides Collection,"Children', 'Price List', 'Education and Men",,,advertisements,https://idn.duke.edu/ark:/87924/r4s46jz20,,,West Tennessee College
Cheap Goods For Cash!!,Cheap Goods For Cash!!,1867,,Broadsides Collection,Dry Goods,,,advertisements,https://idn.duke.edu/ark:/87924/r4dj5b69c,F-126,,King & Woolf
