name,year,headline,company,product,category,subject,publication,medium,format,link,description,location
"""Emerson is your Best Buy!""",1949,"""Emerson is your Best Buy!""",Emerson Radio and Phonograph Corporation,Various,Television (1939-1957),"Testimonial, Emerson, Television",St. Louis Journal Dispatch,newspapers,advertisements,https://idn.duke.edu/ark:/87924/r4dr2px4f,,
"""Emerson is your Best Buy!""",1949,"""Emerson is your Best Buy!""",Emerson Radio and Phonograph Corporation,Various,Television (1939-1957),"Testimonial, Emerson, Television",Sunday News,newspapers,advertisements,https://idn.duke.edu/ark:/87924/r45718955,,
"""Flyings a family affair these days!""",1949,"""Flyings a family affair these days!""",United Air Lines,Family Half Fare Plan,Transportation (1938-1957),"Children, Transportation & Travel, Airlines",Time,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r44f1n30c,,
,,,,,,,,,,,,
"""Here comes the Bride"" Another Woodbury Deb Marries",1949,"""Here comes the Bride"" Another Woodbury Deb Marries",Woodbury,Facial Soap,Beauty and Hygiene (1911-1956),Soaps,Ladies Home Journal,magazines (periodicals),advertisements,https://idn.duke.edu/ark:/87924/r4js9hw1q,,
"""I wish I was in Dixie""",1949,"""I wish I was in Dixie""",Southern Railway System,Industrial South,Transportation (1938-1957),"Railroads, Transportation & Travel",Time,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r42r3pg5c,,
"""Its a Philco-just plug in and play!""",1949,"""Its a Philco-just plug in and play!""",Philco,Television,Television (1939-1957),"Children, Philco, Television",American Weekly,newspapers,"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r48k75j47,,
"""Jeris Wins My Thanks For The Wonders It Works On My Hair And Scalp!"" Praises Fred MacMurry",1949,"""Jeris Wins My Thanks For The Wonders It Works On My Hair And Scalp!"" Praises Fred MacMurry",Jeris,hair tonic,Beauty and Hygiene (1911-1956),"Testimonial, Hair Preparations, Fred MacMurray",Life,magazines (periodicals),advertisements,https://idn.duke.edu/ark:/87924/r43n2111n,,
"""Jeris Wins my Thanks for the Wonders it Works on My Hair and Scalp""",1949,"""Jeris Wins my Thanks for the Wonders it Works on My Hair and Scalp""",Jeris,hair tonic,Beauty and Hygiene (1911-1956),"Testimonial, Hair Preparations, Fred MacMurray",Life,magazines (periodicals),advertisements,https://idn.duke.edu/ark:/87924/r4mp4w77b,,
"""Look what Im serving for dinner today""",1949,"""Look what Im serving for dinner today""",United Air Lines,Meals,Transportation (1938-1957),"Transportation & Travel, Airlines",New Yorker,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4cz32p6z,,
"""Look, Ma, No Hands!"" ...and Mallory Methods and materials Helped to Make ""No Hands"" Possible in Bicycle Manufacture",1949,"""Look, Ma, No Hands!"" ...and Mallory Methods and materials Helped to Make ""No Hands"" Possible in Bicycle Manufacture","P.R. Mallory and Company, Incorporated",Electronics,Radio (1922-1956),"Children, Miscellaneous, Electronics",Time,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4wd3qj5p,,
"""M-m-m-m!"" is for Magnavox",1949,"""M-m-m-m!"" is for Magnavox",Magnavox Company,Radio Phonograph Television,Television (1939-1957),"Magnavox, Television",Saturday Evening Post,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4ww77n24,,
"""No Traffic Nerves for Us! Our Trips are Trouble-Free and Cost Us Less When We Go GREYHOUND""",1949,"""No Traffic Nerves for Us! Our Trips are Trouble-Free and Cost Us Less When We Go GREYHOUND""",Greyhound,Greyhound,Transportation (1938-1957),"Transportation & Travel, Buses",Saturday Evening Post,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4gf0nf6g,,
"""Oft In The Stilly Night"" Mallory Works For You",1949,"""Oft In The Stilly Night"" Mallory Works For You","P.R. Mallory and Company, Incorporated",Electronics,Radio (1922-1956),"Miscellaneous, Electronics",Time,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4154f60p,,
"""Safety in the Air"" What Two Great Newspapers Say About the Safety of Air Travel",1949,"""Safety in the Air"" What Two Great Newspapers Say About the Safety of Air Travel","American Airlines, Inc.",American Airlines,Transportation (1938-1957),"Transportation & Travel, Airlines",Chicago Tribune,newspapers,advertisements,https://idn.duke.edu/ark:/87924/r4x34n93b,,
"""See Canada in Autumn-ablaze with scarlet and gold""",1949,"""See Canada in Autumn-ablaze with scarlet and gold""",Canadian National Railways,Canada,Transportation (1938-1957),"Railroads, Transportation & Travel",Colliers,magazines (periodicals),advertisements,https://idn.duke.edu/ark:/87924/r4st7fg37,,
"""Suave"" your hair",1949,"""Suave"" your hair",Helene Curtis Industries Incorporated,Helene Curtis Suave,Beauty and Hygiene (1911-1956),Hair Preparations,True Confessions,magazines (periodicals),advertisements,https://idn.duke.edu/ark:/87924/r4h708m3z,,
"""Take a Trip"" means Take a Saving!",1949,"""Take a Trip"" means Take a Saving!",Greyhound,Low fares,Transportation (1938-1957),"Children, Transportation & Travel, Buses",Womans Home Companion,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4rb6wm6b,,
"""Theres nothing like it on earth for traveling with a baby!""",1949,"""Theres nothing like it on earth for traveling with a baby!""","American Airlines, Inc.",Flagship travel,Transportation (1938-1957),"Children, Transportation & Travel, Airlines",Good Housekeeping,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r40v8b13r,,
"""Theyll hardly recognize you in Coventry, mlady... """,1949,"""Theyll hardly recognize you in Coventry, mlady... """,British Overseas Airways Corporation,Airlines,Transportation (1938-1957),"Famous People, Transportation & Travel, Airlines, Lady Godiva",Time,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4348h051,,
"""This Christmas were really on top of the World!""",1949,"""This Christmas were really on top of the World!""",Stromberg-Carlson Television,"""Emperor""",Television (1939-1957),"Children, Television, Stromberg-Carlson",New York Herald Tribune,newspapers,advertisements,https://idn.duke.edu/ark:/87924/r4988389t,,
"""Wonder World of Southern Utah-Arizona",1949,"""Wonder World of Southern Utah-Arizona",Union Pacific Railroad,Southern Utah-Arizona,Transportation (1938-1957),"Railroads, Transportation & Travel",American,magazines (periodicals),advertisements,https://idn.duke.edu/ark:/87924/r44b2xq41,,
"""Yeah...the Team Won-but I lost!""",1949,"""Yeah...the Team Won-but I lost!""",Woodbury,Facial Soap,Beauty and Hygiene (1911-1956),"Illustration, Comics, Radio Programs, Soaps, Louella Parsons",Journal American,newspapers,advertisements,https://idn.duke.edu/ark:/87924/r46w96x0w,,
*DC-6 Luxury PLUS* The Star To Miami,1949,*DC-6 Luxury PLUS* The Star To Miami,National Airlines,Star,Transportation (1938-1957),"Transportation & Travel, Airlines",New Yorker,magazines (periodicals),advertisements,https://idn.duke.edu/ark:/87924/r43b5ws2c,,
...into a land of beauty,1949,...into a land of beauty,Union Pacific Railroad,Pacific Northwest,Transportation (1938-1957),"Railroads, Transportation & Travel",Colliers,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4930pd9w,,
"10 Tours To Europe By Stratocruiser Flagship! ""See what we saw on a Flagship Tour in just 2 weeks!""",1949,"10 Tours To Europe By Stratocruiser Flagship! ""See what we saw on a Flagship Tour in just 2 weeks!""","American Airlines, Inc.",Flagship tours,Transportation (1938-1957),"Children, Transportation & Travel, Airlines",New York Times Magazine,newspapers,"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r48c9rn2b,,
1949 Sensation at Vim,1949,1949 Sensation at Vim,Zenith Radio Corporation,"FM-AM, AC-DC 4-in-one Combination",Radio (1922-1956),"Retail, Radio, Zenith, Vim",Sunday News,newspapers,advertisements,https://idn.duke.edu/ark:/87924/r4j679d6r,,
2 to 1 youll have more fun in Bermuda,1949,2 to 1 youll have more fun in Bermuda,British Overseas Airways Corporation,Bermuda,Transportation (1938-1957),"Transportation & Travel, Airlines",New York World Telegram,newspapers,"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r48s4k64n,,
30 Million Kids Overseas Need Soap! You can help! Heres how you can send them Swan soap through CARE-at no cost to you!,1949,30 Million Kids Overseas Need Soap! You can help! Heres how you can send them Swan soap through CARE-at no cost to you!,Lever Brothers Company,Swan Soap,Beauty and Hygiene (1911-1956),"Coupons, Famous People, Soaps, Bob Hope",Life,magazines (periodicals),advertisements,https://idn.duke.edu/ark:/87924/r48w38p8s,,
54-Day Mediterranean Cruise by Cunard White Stars Britannic,1949,54-Day Mediterranean Cruise by Cunard White Stars Britannic,Cunard White Star Line,Mediterranean,Transportation (1938-1957),"Ships, Transportation & Travel",Vogue,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4kw58409,,
8 Flights Weekly only direct service to Athens,1949,8 Flights Weekly only direct service to Athens,Trans World Airline,Athens,Transportation (1938-1957),"Transportation & Travel, Airlines",New York Times,newspapers,"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4mc8s12d,,
A FINER FRISCO IN...49,1949,A FINER FRISCO IN...49,Frisco,Frisco,Transportation (1938-1957),"Railroads, Transportation & Travel",Time,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r43x84494,,
A Lot More Travel for A Lot Less Money,1949,A Lot More Travel for A Lot Less Money,Greyhound,Greyhound,Transportation (1938-1957),"Children, Transportation & Travel, Buses",Life,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4zc7sd03,,
A Superb Combination of Zenith Exclusives,1949,A Superb Combination of Zenith Exclusives,Zenith Radio Corporation,Television (with circle screen),Television (1939-1957),"Zenith, Television",American Home,magazines (periodicals),advertisements,https://idn.duke.edu/ark:/87924/r4cv4cd7x,,
A Treasure of Pleasure in Your Home for Years... the Andrea Edgemont,1949,A Treasure of Pleasure in Your Home for Years... the Andrea Edgemont,Andrea Radio Corporation,Andrea Edgemont Television Console,Television (1939-1957),"Sports, Television, Andrea",New York Tribune,newspapers,advertisements,https://idn.duke.edu/ark:/87924/r46m33r87,,
A World Series Box Seat at Home! Westinghouse Big Picture Television,1949,A World Series Box Seat at Home! Westinghouse Big Picture Television,Westinghouse Electric Corporation,Big Picture Television,Television (1939-1957),"Sports, Westinghouse, Television",Daily News,newspapers,advertisements,https://idn.duke.edu/ark:/87924/r4np1x641,,
A delightful part of your Colorado Vacation,1949,A delightful part of your Colorado Vacation,Rock Island Lines,Colorado,Transportation (1938-1957),"Railroads, Transportation & Travel",Time,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4sq8r31d,,
A sweet market in lovely lands,1949,A sweet market in lovely lands,"Alcoa Steamship Company, Inc.",Caribbean,Transportation (1938-1957),"Ships, Transportation & Travel",Time,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4wh2f089,,
A welcome gift for any occasion,1949,A welcome gift for any occasion,Union Pacific Railroad,Travel Certificates,Transportation (1938-1957),"Railroads, Transportation & Travel",New Yorker,magazines (periodicals),advertisements,https://idn.duke.edu/ark:/87924/r4k64bc4x,,
Across the U.S. and overseas... you can depend on TWA,1949,Across the U.S. and overseas... you can depend on TWA,Trans World Airline,Trans World Airlines,Transportation (1938-1957),"Transportation & Travel, Airlines",New York Times,newspapers,"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4fq9qq2t,,
Admiral Three Foot Television Theatre. With Sensational New Triple-Play Automatic Phonograph.,1949,Admiral Three Foot Television Theatre. With Sensational New Triple-Play Automatic Phonograph.,Admiral Corporation,Admiral Smart Set Television Combination,Television (1939-1957),"Television Programs, Admiral, Television, Stop the Music, Broadway Revue",Colliers,magazines (periodicals),advertisements,https://idn.duke.edu/ark:/87924/r4q23rn8w,,
"Ahhh Meals more delicious than on any other airline! ""the Hollywood"" fly United",1949,"Ahhh Meals more delicious than on any other airline! ""the Hollywood"" fly United",United Air Lines,Meals,Transportation (1938-1957),"Transportation & Travel, Airlines",New York Herald Tribune,newspapers,"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4hq3sh1t,,
Air Travel to Europe at its Best...,1949,Air Travel to Europe at its Best...,Sabena Belgian Airlines,Sabena Belgian Airlines,Transportation (1938-1957),"Transportation & Travel, Airlines",New Yorker,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r46689322,,
"All New, All-Coach Streamliners",1949,"All New, All-Coach Streamliners",Pennsylvania Railroad,Pennsylvania Railroad,Transportation (1938-1957),"Railroads, Television Programs, Transportation & Travel, The Railroad Hour on ABC",Look,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4f766r9g,,
Amazing Low Price at VIM for Movie-Clear TV,1949,Amazing Low Price at VIM for Movie-Clear TV,Colonial Radio Corporation,Movie Clear Television,Television (1939-1957),"Retail, VIM, Television, Sylvania",Daily News,newspapers,advertisements,https://idn.duke.edu/ark:/87924/r4st7fj91,,
Americas Finest Radio-Phonograph,1949,Americas Finest Radio-Phonograph,Magnavox Company,Radio Phonograph Television,Television (1939-1957),"Magnavox, Television",Saturday Evening Post,magazines (periodicals),advertisements,https://idn.duke.edu/ark:/87924/r40z71j8t,,
Americas Grandest Entertainment,1949,Americas Grandest Entertainment,General Electric Company,Various,Television (1939-1957),"General Electric, Television",Saturday Evening Post,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r44747d6d,,
Americas greatest value in radio-phonographs,1949,Americas greatest value in radio-phonographs,Magnavox Company,Radio Phonograph Television,Television (1939-1957),"Children, Magnavox, Television",Saturday Evening Post,magazines (periodicals),advertisements,https://idn.duke.edu/ark:/87924/r4q23rn20,,
Americas greatest value in television Plus the nations finest radio-phonograph!,1949,Americas greatest value in television Plus the nations finest radio-phonograph!,Magnavox Company,Radio Phonograph Television,Television (1939-1957),"Magnavox, Television",Time,magazines (periodicals),advertisements,https://idn.duke.edu/ark:/87924/r4xw48j5t,,
American Airlines Incorporated Brings You a New Service-With Air Coach Rates to New York (nonstop) and to Los Angeles. Americas Finest Low Cost Air Travel,1949,American Airlines Incorporated Brings You a New Service-With Air Coach Rates to New York (nonstop) and to Los Angeles. Americas Finest Low Cost Air Travel,"American Airlines, Inc.",American Airlines Incorporated,Transportation (1938-1957),"Transportation & Travel, Airlines",Chicago Tribune,newspapers,"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4sb3xg9k,,
American to Dallas,1949,American to Dallas,"American Airlines, Inc.",Dallas,Transportation (1938-1957),"Transportation & Travel, Airlines",St. Louis Dispatch,newspapers,"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4js9hr6b,,
Americans Sleeperlounge Constellations Fly to Scandinavia,1949,Americans Sleeperlounge Constellations Fly to Scandinavia,"American Airlines, Inc.",Scandinavia,Transportation (1938-1957),"Transportation & Travel, Airlines",New York Herald Tribune,newspapers,"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r41v5bx3k,,
"Announcing First Direct Service to Hamburg, Germany",1949,"Announcing First Direct Service to Hamburg, Germany",Scandinavian Airlines System,"Direct Service to Hamburg, Germany",Transportation (1938-1957),"Transportation & Travel, Airlines",New York Herald Tribune,newspapers,advertisements,https://idn.duke.edu/ark:/87924/r4vq2sv0j,,
"Announcing a new, regular, first-class passenger service to and from South Africa by two distinguished, yacht-like luxury liners",1949,"Announcing a new, regular, first-class passenger service to and from South Africa by two distinguished, yacht-like luxury liners",Farrell Lines,African Enterprise and African Endeavor,Transportation (1938-1957),"Ships, Transportation & Travel",Time,magazines (periodicals),advertisements,https://idn.duke.edu/ark:/87924/r4x63br14,,
"Announcing that effective April 1st, the name of the American South African Line, Inc. changes to Farrell Lines Incorporated.",1949,"Announcing that effective April 1st, the name of the American South African Line, Inc. changes to Farrell Lines Incorporated.",Farrell Lines,Farrell Lines Incorporated,Transportation (1938-1957),"Ships, Transportation & Travel",,newspapers,"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4kw58377,,
"Another Zenith Tone Triumph! ""Twin Cobra"" Tone Arms",1949,"Another Zenith Tone Triumph! ""Twin Cobra"" Tone Arms",Zenith Radio Corporation,Radio-Phonograph,Radio (1922-1956),"Miscellaneous, Electronics",Colliers,magazines (periodicals),advertisements,https://idn.duke.edu/ark:/87924/r4xp6vm4z,,
Answers by Squeekie,1949,Answers by Squeekie,"Wildroot Company, Inc.",Wildroot Liquid Cream Shampoo,Beauty and Hygiene (1911-1956),Hair Preparations,American Journal,newspapers,"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4gb1z35k,,
Are you all at sea about Television?,1949,Are you all at sea about Television?,Stromberg-Carlson Television,Various,Television (1939-1957),"Television, Stromberg-Carlson",New York Herald Tribune,newspapers,"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r49g5h215,,
Are you going round in circles about Television?,1949,Are you going round in circles about Television?,Stromberg-Carlson Television,Various,Television (1939-1957),"Television, Stromberg-Carlson",Chicago Tribune,newspapers,"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4g44jc77,,
Are you up a tree about Television?,1949,Are you up a tree about Television?,Stromberg-Carlson Television,Various,Television (1939-1957),"Television, Stromberg-Carlson",New York Herald Tribune,newspapers,"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4bk17b8n,,
Arriving! the great Ile de France...your gayest entree to Europe,1949,Arriving! the great Ile de France...your gayest entree to Europe,French Line,new ship,Transportation (1938-1957),"Ships, Transportation & Travel",New Yorker,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r41j97t5c,,
BCPA Now Fastest Service to Australia & New Zealand,1949,BCPA Now Fastest Service to Australia & New Zealand,"British Commonwealth Pacific Airlines, Limited",Australia and New Zealand,Transportation (1938-1957),"Transportation & Travel, Airlines",Time,magazines (periodicals),advertisements,https://idn.duke.edu/ark:/87924/r4th8c510,,
BOAC Announces Important REDUCTIONS,1949,BOAC Announces Important REDUCTIONS,British Overseas Airways Corporation,Air Fares,Transportation (1938-1957),"Transportation & Travel, Airlines",New York Times,newspapers,advertisements,https://idn.duke.edu/ark:/87924/r4cj8838j,,
Badge Of Air Courtesy,1949,Badge Of Air Courtesy,British Overseas Airways Corporation,Service,Transportation (1938-1957),"Transportation & Travel, Airlines",Times,newspapers,"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4445hw4c,,
Banker enthuses over speedy new Convairs of the Yankee Fleet,1949,Banker enthuses over speedy new Convairs of the Yankee Fleet,Northeast Airlines,Convair Service,Transportation (1938-1957),"Testimonial, Transportation & Travel, Airlines, Stephen Carey Luce",New York Times,newspapers,advertisements,https://idn.duke.edu/ark:/87924/r4sq8r22f,,
Barbasol. No brush. No lather. No rub-in.,1949,Barbasol. No brush. No lather. No rub-in.,Barbasol,Barbasol Sanitary Beard Softener,Beauty and Hygiene (1911-1956),Shaving Supplies,Life,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4xp6vq2b,,
"Beauty is My Business- Says Jane Werner, Famous Cover Girl",1949,"Beauty is My Business- Says Jane Werner, Famous Cover Girl",SweetHeart,SweetHeart Soap,Beauty and Hygiene (1911-1956),"Testimonial, Soaps, Jane Werner, famous cover girl",Cosmopolitan,magazines (periodicals),advertisements,https://idn.duke.edu/ark:/87924/r4445j006,,
"Beauty is My Business- Says June Thompson, Adorable Cover Girl",1949,"Beauty is My Business- Says June Thompson, Adorable Cover Girl",SweetHeart,SweetHeart Soap,Beauty and Hygiene (1911-1956),"Children, Testimonial, Soaps, June Thompson, cover girl",McCalls,magazines (periodicals),advertisements,https://idn.duke.edu/ark:/87924/r47s7jd19,,
"Beauty is My Business- Says Nancy Bass, Famous Cover Girl",1949,"Beauty is My Business- Says Nancy Bass, Famous Cover Girl",SweetHeart,SweetHeart Soap,Beauty and Hygiene (1911-1956),"Testimonial, Soaps, Nancy Bass, famous cover girl",Cosmopolitan,magazines (periodicals),advertisements,https://idn.duke.edu/ark:/87924/r40c4t57x,,
"Beauty is my Business- Says Leona Fredericks, Alluring Cover Girl:",1949,"Beauty is my Business- Says Leona Fredericks, Alluring Cover Girl:",SweetHeart,SweetHeart Soap,Beauty and Hygiene (1911-1956),"Children, Testimonial, Soaps, Leona Fredericks, cover girl",McCalls,magazines (periodicals),advertisements,https://idn.duke.edu/ark:/87924/r4cj8864z,,
Beauty is my business- And SweetHeart Is My Beauty Soap say 9 out of 10 Cover Girls!,1949,Beauty is my business- And SweetHeart Is My Beauty Soap say 9 out of 10 Cover Girls!,SweetHeart,SweetHeart Soap,Beauty and Hygiene (1911-1956),"Children, Testimonial, Soaps, Terry Thomas, cover girl",Ladies Home Journal,magazines (periodicals),advertisements,https://idn.duke.edu/ark:/87924/r4h99007m,,
Beauty is my business- And SweetHeart Is My Beauty Soap say 9 out of 10 Cover Girls!,1949,Beauty is my business- And SweetHeart Is My Beauty Soap say 9 out of 10 Cover Girls!,SweetHeart,SweetHeart Soap,Beauty and Hygiene (1911-1956),"Children, Testimonial, Soaps, Liz Hastings, cover girl",Motion Picture,magazines (periodicals),advertisements,https://idn.duke.edu/ark:/87924/r4n29pt22,,
Before You Buy See Westinghouse Big Picture Television at Small Picture Price,1949,Before You Buy See Westinghouse Big Picture Television at Small Picture Price,Westinghouse Electric Corporation,Big Picture Television,Television (1939-1957),"Westinghouse, Television",Daily News,newspapers,advertisements,https://idn.duke.edu/ark:/87924/r4sf2n09n,,
Behind This Magic Doorway All This... And More... Await You,1949,Behind This Magic Doorway All This... And More... Await You,French National Airline,Air France Comet,Transportation (1938-1957),"Transportation & Travel, Airlines",New Yorker,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4v698w1r,,
Bermuda Offers A Merry Christmas,1949,Bermuda Offers A Merry Christmas,British Overseas Airways Corporation,Bermuda,Transportation (1938-1957),"Transportation & Travel, Airlines",New Yorker,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r46w96s8z,,
Best Of Atlantic Crossing,1949,Best Of Atlantic Crossing,British Overseas Airways Corporation,British Overseas Airways Corporation,Transportation (1938-1957),"Transportation & Travel, Airlines",Time,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4zc7sb9j,,
Better Reception Wherever You Live! ..With Sylvania Movie Clear Television,1949,Better Reception Wherever You Live! ..With Sylvania Movie Clear Television,Colonial Radio Corporation,Movie Clear Television,Television (1939-1957),"Television, Sylvania",New York Herald Tribune,newspapers,advertisements,https://idn.duke.edu/ark:/87924/r41z42g0n,,
Better Television for More People. A Pledge to the Nations Fastest-Growing Audience,1949,Better Television for More People. A Pledge to the Nations Fastest-Growing Audience,International Telephone and Telegraph Corporation,Capehart Television,Television (1939-1957),"Sports, Capehart, Television",Time,magazines (periodicals),advertisements,https://idn.duke.edu/ark:/87924/r4m61cc0k,,
Big Wildroot Bargain Introduces New Liquid Cream Shampoo,1949,Big Wildroot Bargain Introduces New Liquid Cream Shampoo,"Wildroot Company, Inc.",Liquid Cream Shampoo,Beauty and Hygiene (1911-1956),Hair Preparations,St. Paul Pioneer Press,magazines (periodicals),advertisements,https://idn.duke.edu/ark:/87924/r4bn9xp3q,,
Biggest Bargain in Summer Travel,1949,Biggest Bargain in Summer Travel,Delta Airlines,Summer Travel,Transportation (1938-1957),"Transportation & Travel, Airlines",Time,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4nv99v2w,,
Bob Hope and I love to fly!,1949,Bob Hope and I love to fly!,United Air Lines,United Airlines,Transportation (1938-1957),"Testimonial, Television Programs, Transportation & Travel, Airlines, Bob Hope, ""Bob Hopes Swan Show on NBC",Time,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r42j68p4p,,
"Bob Hopes Swan Offer! Hollywood Lapel Locket Certified $1.50 Value, Only 35 cents and 1 wrapper from Swan- the newer, better floating soap!",1949,"Bob Hopes Swan Offer! Hollywood Lapel Locket Certified $1.50 Value, Only 35 cents and 1 wrapper from Swan- the newer, better floating soap!",Lever Brothers Company,Swan Soap,Beauty and Hygiene (1911-1956),"Coupons, Famous People, Illustration, Cartoons, Soaps, Bob Hope, Doris Day",Chicago Tribune,newspapers,advertisements,https://idn.duke.edu/ark:/87924/r4p26qr0s,,
Boston hotel executive hails Yankee Fleets new Convair service,1949,Boston hotel executive hails Yankee Fleets new Convair service,Northeast Airlines,Convair Service,Transportation (1938-1957),"Testimonial, Transportation & Travel, Airlines, D. B. Stanbro",New York Times,newspapers,advertisements,https://idn.duke.edu/ark:/87924/r4251g36t,,
"Bringing you the New in New York Central, Southwestern Limited",1949,"Bringing you the New in New York Central, Southwestern Limited",New York Central System,Southwestern Limited,Transportation (1938-1957),"Children, Railroads, Transportation & Travel",New York Herald Tribune,newspapers,"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4mc8s14c,,
Britain On A Constellation,1949,Britain On A Constellation,British Overseas Airways Corporation,British Overseas Airways Corporation,Transportation (1938-1957),"Transportation & Travel, Airlines",New York Herald Tribune,newspapers,advertisements,https://idn.duke.edu/ark:/87924/r4dj59079,,
Burlingtons 100th Anniversary,1949,Burlingtons 100th Anniversary,Burlington Lines,Burlington Lines,Transportation (1938-1957),"Railroads, Transportation & Travel",Saturday Evening Post,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4pn8z04c,,
Business is Best in the Braniff States of America,1949,Business is Best in the Braniff States of America,Braniff International Airways,Business travel,Transportation (1938-1957),"Transportation & Travel, Airlines",Chicago Tribune,newspapers,"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r48c9rn49,,
Calots because,1949,Calots because,Modess,Sanitary napkins,Beauty and Hygiene (1911-1956),Feminine Hygiene,New York News,newspapers,"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r43j39m5v,,
Can You Identify These New Cars?,1949,Can You Identify These New Cars?,Motorola Inc.,Custom Built Auto Radio,Radio (1922-1956),"Radio, Miscellaneous",Saturday Evening Post,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4cv4c836,,
Canadas great wide West--for a Vacation Above Everything,1949,Canadas great wide West--for a Vacation Above Everything,Trans-Canada Air Lines,Canadian Rockies,Transportation (1938-1957),"Children, Transportation & Travel, Airlines",New York News,newspapers,"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r41n7z53v,,
Chicago Picks the DC-6 for Travel To and Through the South,1949,Chicago Picks the DC-6 for Travel To and Through the South,Delta Airlines,Delta Airlines,Transportation (1938-1957),"Transportation & Travel, Airlines",Chicago Tribune,newspapers,"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4gm82662,,
Colonial Airlines now in its 20th consecutive year of Safety!,1949,Colonial Airlines now in its 20th consecutive year of Safety!,Colonial Airlines,Safety,Transportation (1938-1957),"Transportation & Travel, Airlines",New York Herald Tribune,newspapers,"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r42r3pf2g,,
Columbus may have discovered America but... Mother discovered American!,1949,Columbus may have discovered America but... Mother discovered American!,"American Airlines, Inc.",American Airlines Flagship,Transportation (1938-1957),"Transportation & Travel, Airlines",Good Housekeeping,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4rb6wk5d,,
