name,year,headline,company,product,category,subject,publication,medium,format,link
UCAN Safety Hair Cutter,1917,UCAN Safety Hair Cutter,UCAN Sales Corporation,UCAN Safety Hair Cutter',Beauty and Hygiene (1911-1956),"Premiums', 'Military', 'Hair Preparations'",Saturday Evening Post,magazines (periodicals),"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r4pr7nd8m
"""Here's The Best Advice I Can Give You - """,1918,"""Here's The Best Advice I Can Give You - """,S. S. White Dental Manufacturing Co.,"tooth paste, tooth powder, mouth wash'",Beauty and Hygiene (1911-1956),Dental Supplies',Saturday Evening Post,newspapers,"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r4kp7vd13
American Teeth Impress Our British Allies,1918,American Teeth Impress Our British Allies,S. S. White Dental Manufacturing Co.,Toothpaste',Beauty and Hygiene (1911-1956),"Military', 'Dental Supplies'",Saturday Evening Post,newspapers,"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r4dz03p71
Colgate's for Economy,1918,Colgate's for Economy,Colgate & Company,"""Colgate's Shaving Lather""",Beauty and Hygiene (1911-1956),"Illustration', 'Painting', 'Shaving Supplies'",Ladies' Home Journal,magazines (periodicals),advertisements',https://idn.duke.edu/ark:/87924/r49z90z4d
Health - Life's Greatest Lesson,1918,Health - Life's Greatest Lesson,S. S. White Dental Manufacturing Co.,Toothpaste',Beauty and Hygiene (1911-1956),Dental Supplies',Collier's,magazines (periodicals),"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r4959cw3n
In Civil War Days She Gave Him S. S. White Tooth Powder - Now They Send It To Their Grandson In Camp,1918,In Civil War Days She Gave Him S. S. White Tooth Powder - Now They Send It To Their Grandson In Camp,S. S. White Dental Manufacturing Co.,"tooth paste, tooth powder, mouth wash'",Beauty and Hygiene (1911-1956),"Military', 'Dental Supplies'",Saturday Evening Post,newspapers,"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r46d5q00n
Our Boys in France use S. S. White,1918,Our Boys in France use S. S. White,S. S. White Dental Manufacturing Co.,"tooth paste, tooth powder, mouth wash'",Beauty and Hygiene (1911-1956),"Military', 'Dental Supplies'",,newspapers,"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r4b56ds4c
Parfum Mary Garden,1918,Parfum Mary Garden,Rigaud,rouge',Beauty and Hygiene (1911-1956),Rouge',Vogue,magazines (periodicals),"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r4bv7bg77
The Government is spending Millions to save the teeth of our men,1918,The Government is spending Millions to save the teeth of our men,S. S. White Dental Manufacturing Co.,"tooth paste, tooth powder, mouth wash'",Beauty and Hygiene (1911-1956),"Military', 'Dental Supplies'",Saturday Evening Post,newspapers,"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r4fx74k86
You Don't Have To Coax Them To Use It!,1918,You Don't Have To Coax Them To Use It!,S. S. White Dental Manufacturing Co.,"tooth paste, tooth powder, mouth wash'",Beauty and Hygiene (1911-1956),"Children', 'Dental Supplies'",,newspapers,"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r4gx45g7z
"""like putting a new film in a Kodak""",1919,"""like putting a new film in a Kodak""",Colgate & Company,"""Colgate's Handy Grip""",Beauty and Hygiene (1911-1956),Shaving Supplies',Saturday Evening Post,magazines (periodicals),advertisements',https://idn.duke.edu/ark:/87924/r4902024f
Creole Crowned Heads,1919,Creole Crowned Heads,Van Vleet-Mansfield Laboratories,La Creole Hair Dressing',Beauty and Hygiene (1911-1956),Hair Preparations',McClure's,magazines (periodicals),"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r4x63br6j
Do You Use a Safe Dentifrice?,1919,Do You Use a Safe Dentifrice?,S. S. White Dental Manufacturing Co.,Toothpaste',Beauty and Hygiene (1911-1956),Dental Supplies',Saturday Evening Post,newspapers,"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r48912c75
Happiness - The Harmony of Life,1919,Happiness - The Harmony of Life,S. S. White Dental Manufacturing Co.,Toothpaste',Beauty and Hygiene (1911-1956),Dental Supplies',Collier's,magazines (periodicals),"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r45h7cg27
Nine Out of Ten Children Have Defective Teeth - Is Yours One of the Nine?,1919,Nine Out of Ten Children Have Defective Teeth - Is Yours One of the Nine?,S. S. White Dental Manufacturing Co.,Toothpaste',Beauty and Hygiene (1911-1956),"Children', 'Dental Supplies'",Saturday Evening Post,newspapers,"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r4hq3sm2n
The Charm That Kings Admired,1919,The Charm That Kings Admired,Van Vleet-Mansfield Drug Co.,Hair Dressing',Beauty and Hygiene (1911-1956),"Premiums', 'Hair Preparations'",Vanity Fair,magazines (periodicals),"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r4028q02f
The Creoles' Secret of Keeping the Hair Young,1919,The Creoles' Secret of Keeping the Hair Young,Van Vleet-Mansfield Laboratories,La Creole Hair Dressing',Beauty and Hygiene (1911-1956),Hair Preparations',Holland's Magazine,magazines (periodicals),"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r44t6fp82
The Wonder of Creole Hair,1919,The Wonder of Creole Hair,Van Vleet-Mansfield Laboratories,La Creole Hair Dressing',Beauty and Hygiene (1911-1956),Hair Preparations',Redbook,magazines (periodicals),"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r41z42d17
Vigor - The Flame of Life,1919,Vigor - The Flame of Life,S. S. White Dental Manufacturing Co.,Toothpaste',Beauty and Hygiene (1911-1956),Dental Supplies',Saturday Evening Post,newspapers,"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r4jq0th0x
We can hardly blame uninvited guests for their interest in an array of attractive hair such as results from the use of Canthrox Shampoo,1919,We can hardly blame uninvited guests for their interest in an array of attractive hair such as results from the use of Canthrox Shampoo,H.S. Peterson & Company,Canthrox Shampoo',Beauty and Hygiene (1911-1956),"Premiums', 'Hair Preparations'",Woman's Home Companion,magazines (periodicals),advertisements',https://idn.duke.edu/ark:/87924/r4930pf5d
Mouth Hygiene = Health + Beauty,1910s,Mouth Hygiene = Health + Beauty,Sanitol Chemical Laboratory Company,Sanitol Tooth Powder',Beauty and Hygiene (1911-1956),Dental Supplies',Good Housekeeping,magazines (periodicals),"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r4599zp53
"""La Creole"" for beautiful hair",1920,"""La Creole"" for beautiful hair",La Creole Laboratories,"La Creole Hair Tonic, Shampoo, and Hair Dressing'",Beauty and Hygiene (1911-1956),Hair Preparations',Sunset,magazines (periodicals),"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r4sf2mz0f
"""Your hair is your fortune"" might well be said, for it is surely one of your most noticeable features of beauty. Canthrox Shampoo.",1920,"""Your hair is your fortune"" might well be said, for it is surely one of your most noticeable features of beauty. Canthrox Shampoo.",H.S. Peterson & Company,Canthrox Shampoo',Beauty and Hygiene (1911-1956),"Premiums', 'Hair Preparations'",McCall's,magazines (periodicals),advertisements',https://idn.duke.edu/ark:/87924/r4f47hd73
A New Benefit to Womankind,1920,A New Benefit to Womankind,Lewis Manufacturing Company,Curads Sanitary Napkins',Beauty and Hygiene (1911-1956),"Premiums', 'Feminine Hygiene'",Vogue,magazines (periodicals),"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r4nk36r3r
"At summer camp or town house, whether the water is hard or soft, careful girls agree that the most easily used and effective hair cleanser is- Canthrox Shampoo",1920,"At summer camp or town house, whether the water is hard or soft, careful girls agree that the most easily used and effective hair cleanser is- Canthrox Shampoo",H.S. Peterson & Company,Canthrox Shampoo',Beauty and Hygiene (1911-1956),"Premiums', 'Hair Preparations'",Photoplay,magazines (periodicals),"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r40z71h0h
Colgate's,1920,Colgate's,Colgate & Company,Colgate Products',Beauty and Hygiene (1911-1956),Shaving Supplies',Leslie's Weekly,magazines (periodicals),advertisements',https://idn.duke.edu/ark:/87924/r4fj2b010
"Colgate's For Christmas. Useful Gifts, not Gimcracks.",1920,"Colgate's For Christmas. Useful Gifts, not Gimcracks.",Colgate & Company,Colgate & Company',Beauty and Hygiene (1911-1956),Shaving Supplies',Designer,magazines (periodicals),"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r42f7kb7q
Comfort-A Three Act Play-By Mostall Menn,1920,Comfort-A Three Act Play-By Mostall Menn,Colgate & Company,Colgate Products',Beauty and Hygiene (1911-1956),Shaving Supplies',Life,magazines (periodicals),"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r4pz5265r
"First the Rouge and then a touch of the soft, clinging Face Powder",1920,"First the Rouge and then a touch of the soft, clinging Face Powder",Rigaud,Mary Garden Perfume',Beauty and Hygiene (1911-1956),"Illustration', 'Painting', 'Rouge'",,magazines (periodicals),advertisements',https://idn.duke.edu/ark:/87924/r4736mp7b
For Beautiful Hair Take the advice of highest medical authorities,1920,For Beautiful Hair Take the advice of highest medical authorities,La Creole Laboratories,Various',Beauty and Hygiene (1911-1956),"Premiums', 'Hair Preparations'",McClure's,magazines (periodicals),"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r4rb6wn8r
Give your Hair the special care it needs after the dust and heat of summer,1920,Give your Hair the special care it needs after the dust and heat of summer,West Electric Hair Curler Company,"West Human Hair Net, Softex Shampoo'",Beauty and Hygiene (1911-1956),Hair Preparations',Fashion Art,magazines (periodicals),"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r4sb3xj7h
La Dorine,1920,La Dorine,Dorin of Paris,rouge',Beauty and Hygiene (1911-1956),Rouge',Pictorial Review,magazines (periodicals),"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r4416tm1d
Right care means plenty of good looking hair,1920,Right care means plenty of good looking hair,La Creole Laboratories,"La Creole Hair Tonic, Shampoo, and Hair Dressing'",Beauty and Hygiene (1911-1956),Hair Preparations',Sunset,magazines (periodicals),"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r4125qw47
Rouge fragrant with Parfum Mary Garden,1920,Rouge fragrant with Parfum Mary Garden,Rigaud,rouges',Beauty and Hygiene (1911-1956),"Illustration', 'Painting', 'Rouge'",American,magazines (periodicals),advertisements',https://idn.duke.edu/ark:/87924/r48c9rr4n
Take it on your trip this summer; it is indispensable to the comfort of your scalp and the beauty of your hair. Canthrox Shampoo.,1920,Take it on your trip this summer; it is indispensable to the comfort of your scalp and the beauty of your hair. Canthrox Shampoo.,H.S. Peterson & Company,Canthrox Shampoo',Beauty and Hygiene (1911-1956),"Premiums', 'Hair Preparations'",Motion Picture,magazines (periodicals),"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r44q7r948
"The Evolution of the ""Comfort Smile""",1920,"The Evolution of the ""Comfort Smile""",Colgate & Company,Colgate Products',Beauty and Hygiene (1911-1956),Shaving Supplies',Life,magazines (periodicals),"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r49s1m577
"The Summer Girl owes much of her charm to lustrous, abundant hair, and a sure way to hair-health and beauty is to use Canthrox Shampoo",1920,"The Summer Girl owes much of her charm to lustrous, abundant hair, and a sure way to hair-health and beauty is to use Canthrox Shampoo",H.S. Peterson & Company,Canthrox Shampoo',Beauty and Hygiene (1911-1956),"Premiums', 'Hair Preparations'",Woman's Home Companion,magazines (periodicals),advertisements',https://idn.duke.edu/ark:/87924/r4599zn26
Times change but beauty lives,1920,Times change but beauty lives,La Creole Laboratories,La Creole Hair Dressing',Beauty and Hygiene (1911-1956),Hair Preparations',Sunset,magazines (periodicals),"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r40k26x9m
"You can always look forward to a pleasant and comfortable day when you have given your hair the best possible treatment, by the use of Canthrox Shampoo",1920,"You can always look forward to a pleasant and comfortable day when you have given your hair the best possible treatment, by the use of Canthrox Shampoo",H.S. Peterson & Company,Canthrox Shampoo',Beauty and Hygiene (1911-1956),"Premiums', 'Hair Preparations'",Everybody's Magazine,magazines (periodicals),"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r4js9ht9p
"""Neither blonde nor brunette--Can women in this great in-between class be as strikingly attractive as the more pronounced types?",1921,"""Neither blonde nor brunette--Can women in this great in-between class be as strikingly attractive as the more pronounced types?",Dorin of Paris,rouge',Beauty and Hygiene (1911-1956),Rouge',Harper's Bazaar,magazines (periodicals),"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r4x92255s
"""She always looks so individual--so herself""",1921,"""She always looks so individual--so herself""",Dorin of Paris,rouge',Beauty and Hygiene (1911-1956),"Premiums', 'Rouge'",Theatre Magazine,magazines (periodicals),"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r45t3gm3b
Boncilla,1921,Boncilla,"Boncilla Laboratories, Inc.",Boncilla Cosmetics',Beauty and Hygiene (1911-1956),Cosmetics',Saturday Evening Post,magazines (periodicals),"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r49s1m61s
Boncilla,1921,Boncilla,"Boncilla Laboratories, Inc.",Boncilla Cosmetics',Beauty and Hygiene (1911-1956),Cosmetics',Saturday Evening Post,magazines (periodicals),"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r4s46ht2s
"Colgate's ""Handy Grip"" The Refill Shaving Stick",1921,"Colgate's ""Handy Grip"" The Refill Shaving Stick",Colgate & Company,"""Colgate's Handy Grip""",Beauty and Hygiene (1911-1956),"Sports', 'Shaving Supplies'",Life,magazines (periodicals),"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r4k64bd1x
"Colgate's ""Handy Grip"" The Refill Shaving Stick--the waking thought of a million men",1921,"Colgate's ""Handy Grip"" The Refill Shaving Stick--the waking thought of a million men",Colgate & Company,"""Colgate's Handy Grip""",Beauty and Hygiene (1911-1956),Shaving Supplies',Life,magazines (periodicals),"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r41r6nm43
Complexions--Night and Noon,1921,Complexions--Night and Noon,Palmolive Company,Palmolive Soap',Beauty and Hygiene (1911-1956),"Illustration', 'Painting', 'Soaps'",McCall's,magazines (periodicals),advertisements',https://idn.duke.edu/ark:/87924/r4pn8z248
Have a beautiful skin,1921,Have a beautiful skin,Palmolive Company,Palmolive Soap',Beauty and Hygiene (1911-1956),"Country of Publication', 'Canada', 'Illustration', 'Painting', 'Soaps'",Canadian Home Journal,magazines (periodicals),advertisements',https://idn.duke.edu/ark:/87924/r41z42d74
How War Nurses Found a New Use for Cellucotton,1921,How War Nurses Found a New Use for Cellucotton,Cellucotton Products Company,Sanitary napkins',Beauty and Hygiene (1911-1956),Feminine Hygiene',Cosmopolitan,magazines (periodicals),"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r4gt5g335
How the plainest woman can be pretty,1921,How the plainest woman can be pretty,Palmolive Company,Palmolive Soap',Beauty and Hygiene (1911-1956),"Country of Publication', 'Canada', 'Soaps'",Toronto Saturday Night,magazines (periodicals),"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r4td9nv3k
I Use Boncilla Constantly,1921,I Use Boncilla Constantly,"Boncilla Laboratories, Inc.",Boncilla Cosmetics',Beauty and Hygiene (1911-1956),"Coupons', 'Testimonial', 'Cosmetics', 'Nita Naldi'",Shadowland,magazines (periodicals),advertisements',https://idn.duke.edu/ark:/87924/r45718847
Keep that schoolgirl complexion,1921,Keep that schoolgirl complexion,Palmolive Company,Palmolive Soap',Beauty and Hygiene (1911-1956),"Sports', 'Soaps'",Photoplay,magazines (periodicals),"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r49g5h094
Kotex,1921,Kotex,Cellucotton Products Company,Sanitary napkins',Beauty and Hygiene (1911-1956),Feminine Hygiene',Delineator,magazines (periodicals),"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r4mk65w7w
Kotex: Ask for them by name,1921,Kotex: Ask for them by name,Cellucotton Products Company,Sanitary napkins',Beauty and Hygiene (1911-1956),Feminine Hygiene',Ladies' Home Journal,magazines (periodicals),"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r4hm5351s
Kotex: Insure poise in the daintiest frocks,1921,Kotex: Insure poise in the daintiest frocks,Cellucotton Products Company,Sanitary napkins',Beauty and Hygiene (1911-1956),Feminine Hygiene',Harper's Bazaar,magazines (periodicals),"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r48c9rq3q
The Secret of Charm Never Changes,1921,The Secret of Charm Never Changes,Palmolive Company,Palmolive Soap',Beauty and Hygiene (1911-1956),Soaps',Shadowland,magazines (periodicals),"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r4f766t4z
The girl you stop to look at,1921,The girl you stop to look at,Palmolive Company,Palmolive Soap',Beauty and Hygiene (1911-1956),"Illustration', 'Painting', 'Soaps'",Saturday Evening Post,magazines (periodicals),advertisements',https://idn.duke.edu/ark:/87924/r4cr5p07m
The picture he carries away,1921,The picture he carries away,Palmolive Company,Palmolive Soap',Beauty and Hygiene (1911-1956),"Coupons', 'Illustration', 'Painting', 'Soaps'",Saturday Evening Post,magazines (periodicals),advertisements',https://idn.duke.edu/ark:/87924/r44b2xs2z
Washing for beauty,1921,Washing for beauty,Palmolive Company,Palmolive Soap',Beauty and Hygiene (1911-1956),Soaps',Motion Picture Classic,magazines (periodicals),"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r4k06xm77
West Beach & Motor Hair Net. - For Every Wear - Everywhere,1921,West Beach & Motor Hair Net. - For Every Wear - Everywhere,West Electric Hair Curler Company,West Beach & Motor Hair Net',Beauty and Hygiene (1911-1956),Hair Preparations',Sailor,magazines (periodicals),"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r4tm72m65
When She Grows Up Rivals in Beauty,1921,When She Grows Up Rivals in Beauty,Palmolive Company,Palmolive Soap',Beauty and Hygiene (1911-1956),"Children', 'Coupons', 'Soaps'",Ladies' Home Journal,magazines (periodicals),"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r49g5h13p
Would your husband marry you again?,1921,Would your husband marry you again?,Palmolive Company,Palmolive Soap',Beauty and Hygiene (1911-1956),Soaps',Harper's Bazaar,magazines (periodicals),"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r4pn8z20b
"A Beauty Secret 3,000 Years Old",1922,"A Beauty Secret 3,000 Years Old",Palmolive Company,Palmolive Soap',Beauty and Hygiene (1911-1956),"Illustration', 'Painting', 'Soaps'",Pictorial Review,magazines (periodicals),advertisements',https://idn.duke.edu/ark:/87924/r4w37mg7x
"As The Sun Draws Out The Beauty of Nature, Boncilla Brings Out Your Natural Beauty",1922,"As The Sun Draws Out The Beauty of Nature, Boncilla Brings Out Your Natural Beauty","Boncilla Laboratories, Inc.",Boncilla Cosmetics',Beauty and Hygiene (1911-1956),"Coupons', 'Cosmetics'",McCall's,magazines (periodicals),"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r4sx64x6f
Beauties of All Races,1922,Beauties of All Races,Pepsodent Company,Pepsodent Tooth Paste',Beauty and Hygiene (1911-1956),"Coupons', 'Ethnic Groups', 'Dental Supplies', 'Asian'",New York Times,newspapers,"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r4sq8r50t
Beauty's Palette,1922,Beauty's Palette,Dorin of Paris,rouges',Beauty and Hygiene (1911-1956),"Premiums', 'Illustration', 'Painting', 'Rouge'",,magazines (periodicals),advertisements',https://idn.duke.edu/ark:/87924/r4fx74k5r
Better than jewels,1922,Better than jewels,Palmolive Company,Palmolive Soap',Beauty and Hygiene (1911-1956),Soaps',Photoplay,magazines (periodicals),"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r41z42d2q
Boncilla Beauty Is True Beauty,1922,Boncilla Beauty Is True Beauty,"Boncilla Laboratories, Inc.",Boncilla Cosmetics',Beauty and Hygiene (1911-1956),"Coupons', 'Cosmetics'",Chicago Tribune,newspapers,"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r4ws8j70v
"Colgate's ""Handy Grip"" The Refill Shaving Stick",1922,"Colgate's ""Handy Grip"" The Refill Shaving Stick",Colgate & Company,"""Colgate's Handy Grip""",Beauty and Hygiene (1911-1956),Shaving Supplies',Life,magazines (periodicals),"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r4x05xz9d
"Dentists say ""Use both!""",1922,"Dentists say ""Use both!""",Sanitol Chemical Laboratory Company,Sanitol Tooth Paste and Liquid Antiseptic',Beauty and Hygiene (1911-1956),"Premiums', 'Dental Supplies'",Ladies' Home Journal,magazines (periodicals),advertisements',https://idn.duke.edu/ark:/87924/r4c53fp34
Dentists say Use Both!---why?,1922,Dentists say Use Both!---why?,Sanitol Chemical Laboratory Company,Sanitol Tooth Paste and Liquid Antiseptic',Beauty and Hygiene (1911-1956),"Premiums', 'Dental Supplies'",Ladies' Home Journal,magazines (periodicals),"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r47d2qv9c
Do You Clay Your Face?,1922,Do You Clay Your Face?,Century Chemists,Forty Minute Beauty Clay',Beauty and Hygiene (1911-1956),"Coupons', 'Cosmetics'",Modern Priscilla,magazines (periodicals),advertisements',https://idn.duke.edu/ark:/87924/r4xd0rj8q
Do men select wives--or women select husbands?,1922,Do men select wives--or women select husbands?,Bourjois,Manon Lescaut face powder',Beauty and Hygiene (1911-1956),"Premiums', 'Rouge'",New York Times,newspapers,"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r4v40km28
Even the Orient,1922,Even the Orient,Pepsodent Company,Pepsodent Tooth Paste',Beauty and Hygiene (1911-1956),"Coupons', 'Ethnic Groups', 'Dental Supplies', 'Asian'",Detroit Free Press,newspapers,advertisements',https://idn.duke.edu/ark:/87924/r41v5c18r
From England comes a Marvelous Face Clay,1922,From England comes a Marvelous Face Clay,Dermatological Laboratories,Terra-derma-lax',Beauty and Hygiene (1911-1956),"Coupons', 'Cosmetics'",Motion Picture Classic,magazines (periodicals),advertisements',https://idn.duke.edu/ark:/87924/r4599zp4m
How Pretty Teeth affect the smile - teeth freed from film,1922,How Pretty Teeth affect the smile - teeth freed from film,Pepsodent Company,Toothpaste',Beauty and Hygiene (1911-1956),"Premiums', 'Dental Supplies'",Delineator (Butterick Qtly),magazines (periodicals),"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r4jq0tg5w
How to care for the skin? Let this well-known physician answer:,1922,How to care for the skin? Let this well-known physician answer:,Procter & Gamble Co.,Ivory Soap',Beauty and Hygiene (1911-1956),"Children', 'Famous People', 'Soaps', 'Dr. William Allen Pusey'",Woman's Home Companion,magazines (periodicals),"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r4p55f34j
Hygiene and good taste lay down these requirements for soap:,1922,Hygiene and good taste lay down these requirements for soap:,Procter & Gamble Co.,Ivory Soap',Beauty and Hygiene (1911-1956),"Country of Publication', 'Canada', 'Soaps'",Canadian Home Journal,magazines (periodicals),"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r4dr2pv9z
